Page,Page length? (Word count),Does the page include numbered list?,If yes- numbered list total?,Does the page include bulletpoints?,If yes- bulletpoints list total??,How many hyperlinks?,How many CTAs?,how many images?,popup on page,includes entry pop up?,includes exit pop up?,Does the page include prices?,How many buttons?,Does the page include video?
https://capitaloneshopping.com/blog/is-amazon-actually-giving-you-the-best-price-779e00e8958e?hno=true,290,No,0,No,0,3,0,4,Yes,No,Yes,No,2,No
https://adsrv.consumerweekly.org/45a18f5f-1338-497a-8365-c4ff77114b91,1460,No,0,Yes,1,54,4,13,No,No,No,Yes,8,No
http://click.gospect.com/3ca5b0a1-8193-4a14-8343-0cbee5acc20b,423,No,0,Yes,1,14,0,6,No,No,No,Yes,1,No
https://read.trendingtechbuzz.com/acreview.php,1695,No,0,Yes,1,19,4,17,Yes,Yes,Yes,Yes,5,No
https://www2.gutcleanseprotocol.com/cid/7013w000001vCGHAA2,60,No,0,No,0,1,0,0,No,No,No,No,0,No
https://www.fetcharate.com/pa/?tg_ref=andy1,439,No,0,No,0,16,1,4,Yes,No,Yes,Yes,10,No
https://financeguidepro.com/policy60/index9533.html,479,No,0,Yes,1,11,1,4,No,No,No,Yes,0,No
https://www.peoplewhiz.com/pa/?tg_ref=pwmota,1005,No,0,Yes,1,7,2,2,No,No,No,No,3,No
https://www.dkawellness.com/dka--bb-fruitadv-tba/?time_elapsed=1&tab_comp=1&noplay=1&controls=1,646,No,0,No,0,12,1,7,No,No,No,No,0,No
http://clickster.io/api/visitors/57ac89e0a38746122f4af882/5f67b8a61385db0012eef9bb/incoming?adi=holding100sb&adh=ppl51-91benjul21&addet=holding100sb-ppl51-91benjul21&cadid=kiThU44F1&appr=lo236_06202021,526,No,0,No,0,16,0,4,No,No,No,Yes,0,No
https://search.searchinglead.com/bb8a5ac4-7de5-4ae7-9ff4-1b702a6ee712?site=%7Bsite%7D&site_id=%7Bsite_id%7D&title=%7Btitle%7D&platform=%7Bplatform%7D&campaign_id=%7Bcampaign_id%7D&campaign_item_id=%7Bcampaign_item_id%7D&thumbnail=%7Bthumbnail%7D&click_id=%7Bclick_id%7D,21,No,0,No,0,4,1,0,No,No,No,No,0,No
http://moneywise.com/a/ch-c/americans-abandon-states_NewByeStatesJun19-LGSB-DSK?t=The%20US%20States%20Americans%20Are%20Fleeing%20%28And%20The%20Places%20They%27re%20Flocking%20To%29&utm_source=taboola&utm_medium=%7Bplatform%7D&utm_campaign=%7Bcampaign_id%7D&utm_term=%7Bsite%7D&utm_content=%7Bcampaign_item_id%7D&s_trn_d=%7Bcpc%7D&taboola_click_id=%7Bclick_id%7D&hero=202106181544350400660666661,170,No,0,Yes,1,17,1,5,No,No,No,No,0,No
http://www.mnbasd77.com/aff_c?offer_id=2024&aff_id=2491&url_id=6346&source=Bul&aff_sub=%7Bcampaign_id%7D_states-aud-desk&aff_sub2=%7Bsite%7D-%7Bsite_id%7D&aff_sub3=%7Bcampaign_item_id%7D_Name,1453,No,0,Yes,8,8,6,129,Yes,Yes,Yes,No,54,Yes
https://www.fool.com/mms/mark/all-in-advert?utm_source=taboola&utm_medium=contentmarketing&utm_campaign=sar-allinalert&aid=9223&paid=9223&waid=9223&source=esatabwdg0211564&psource=esatabwdg0211564&wsource=esatabwdg0211564,1614,No,0,Yes,4,9,0,4,No,No,No,Yes,0,No
https://local.solarpowerprograms.com/survey/aVgOn13CNL8iOnQ6beczk0IxxPEfQSV4YExg57v7,144,No,0,Yes,2,2,1,7,No,Yes,No,Yes,1,No
https://adsrv.consumerweekly.org/8946384b-1417-40ff-9ebb-f58c81403e11,1260,No,0,Yes,1,49,2,13,No,No,No,Yes,8,No
http://www.mnbasd77.com/aff_c?offer_id=2024&aff_id=2491&url_id=6346&source=Bul&aff_sub=%7Bcampaign_id%7D_states-aud-desk&aff_sub2=%7Bsite%7D-%7Bsite_id%7D&aff_sub3=%7Bcampaign_item_id%7D_Name,1453,No,0,Yes,8,8,6,129,Yes,Yes,Yes,No,54,Yes
https://nqkds.voluumtrk.com/1eb7502e-be58-44ca-ac6a-9c36278fef4a,32,No,0,Yes,1,3,0,0,No,No,No,No,4,No
https://article.smartasset.com/smartasset-28-million-v2/,974,No,0,No,0,30,1,31,No,No,No,Yes,0,No
https://read.trendingtechbuzz.com/acreview.php,1700,No,0,Yes,1,19,4,22,Yes,No,Yes,Yes,5,No
https://www.blinkist.com/magazine/posts/startup-harder-than-harvard/,2083,No,0,Yes,4,106,2,7,Yes,Yes,Yes,Yes,2,No
